Algorithm,n,Time(ms),Comparisons,Allocations,Result/Distance
MergeSort,100,1,564,1,-
QuickSort,100,2,621,461,-
DeterministicSelect,100,5,139,0,709633
ClosestPair,100,8,0,0,12.04159
MergeSort,500,0,4100,1,-
QuickSort,500,0,5185,3356,-
DeterministicSelect,500,0,818,0,889185
ClosestPair,500,4,0,0,19.31321
MergeSort,1000,1,9114,1,-
QuickSort,1000,0,10136,6019,-
DeterministicSelect,1000,0,1525,0,679671
ClosestPair,1000,3,0,0,12.64911
MergeSort,5000,1,58557,1,-
QuickSort,5000,1,68074,39568,-
DeterministicSelect,5000,2,7440,0,60114
ClosestPair,2000,5,0,0,2.82843
MergeSort,10000,4,127014,1,-
QuickSort,10000,1,150080,90470,-
DeterministicSelect,10000,7,15053,0,376741
ClosestPair,2000,6,0,0,8.24621
MergeSort,20000,16,273751,1,-
QuickSort,20000,3,339179,188062,-
DeterministicSelect,20000,6,30369,0,647505
ClosestPair,2000,5,0,0,3.16228
